"SOAcondition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","count_block1_sequence","count_block2_sequence","count_block_1","count_block_2","count_breakScreen","count_experiment","count_finish","count_instruction1","count_instruction2","count_keyboard_script","count_logger","count_practiceBlock","count_practice_sequence","count_setup_script","custom_cursor","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceBlock","logfile","mouse_backend","opensesame_codename","opensesame_version","operation","repeat_cycle","response","response_breakScreen","response_finish","response_instruction1","response_instruction2","response_time","response_time_breakScreen","response_time_finish","response_time_instruction1","response_time_instruction2","round_decimals","rt","sampler_backend","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","synth_backend","time_block1_sequence","time_block2_sequence","time_block_1","time_block_2","time_breakScreen","time_experiment","time_finish","time_instruction1","time_instruction2","time_keyboard_script","time_logger","time_practiceBlock","time_practice_sequence","time_setup_script","title","total_correct","total_response_time","total_responses","transparent_variables","truth","uniform_coordinates","width"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","0","0","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1801","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","23118","25868","23115","23117","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","1","1","0","1","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","1","1","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1133","legacy","NA","1024","2","48000","-16","experiment","1_4_add_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","25896","27962","23115","25896","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","2","2","0","2","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","2","2","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","l","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1450","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_F.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","27986","30368","23115","27986","2149","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","3","3","0","3","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","3","3","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1949","legacy","NA","1024","2","48000","-16","experiment","1_4_add_F.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","30389","33270","23115","30389","2149","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","4","4","0","4","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","4","4","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1171","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","33291","35554","23115","33291","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","5","5","0","5","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","5","5","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1204","legacy","NA","1024","2","48000","-16","experiment","0_3_add_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","35575","37871","23115","35575","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"negative","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","6","6","0","6","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","6","6","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1099","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","37893","40085","23115","37893","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","7","7","0","7","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","7","7","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","add","0","l","NA","NA","a","NA","20951","NA","NA","20951","NA","2","1282","legacy","NA","1024","2","48000","-16","experiment","0_3_add_F.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","40105","42319","23115","40105","2149","mousetracking operator preview effect","0","0","0","no","false","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","8","8","0","8","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","8","8","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","980","legacy","NA","1024","2","48000","-16","experiment","1_4_mult_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","42346","44303","23115","42346","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
"neutral","undefined","1","undefined","undefined","white","no","legacy","legacy","legacy","0","relative","undefined","undefined","NA","NA","0","0","0","0","0","0","0","9","9","0","9","0","no","04/24/19 11:07:03","A simple template for the mouse-tracking paradigm","yes","Experiment-TF.osexp","C:\Users\Kristen\Documents\opPreviewExperiment-master\procedure","no","mono","no","24","no","black","no","yes","1050","legacy","9","9","C:/Users/Kristen/Documents/opPreviewExperiment-master/procedure/subject-19.csv","legacy","Kafkaesque Koffka","3.2.6","mult","0","a","NA","NA","a","NA","20951","NA","NA","20951","NA","2","834","legacy","NA","1024","2","48000","-16","experiment","0_3_mult_T.jpg","19","odd","legacy","NA","NA","NA","NA","NA","2148","NA","2163","NA","44330","46143","23115","44330","2149","mousetracking operator preview effect","0","0","0","no","true","no","1680"
